100000
548.269,1583
907,378
-1275,-6736.532
-9786,-6349.06
-250,-9572
8943,-4432.486
-3151,-5763.778
6648,2651.376
-3419,6218.304
8969,-7533.755
-2995.918,-7466
1449,-494
-8440,1845
-6273.873,-5101
6192.081,5112.671
207.221,1102
-2974,-1827.829
1523.533,-4520
6435,-3000
3223,-5125
9634.526,-238
-9758.915,-637.814
-7578,-3666.506
-8373.79,3371
-7938,-8366.108
-1549,6334
-5752,1239.518
-85.531,-6432.586
9624,-6900
1023,3060
-82.912,-1732.71
-6900.276,698.532
6217,5917.486
-3797.228,2677
142,9947.639
-3376,-6343
-8133.427,-8807
-5972.742,-4034
2156,-5269
-6464.034,-525.192
-8080.302,-3588.971
-7933,3398
-4008.714,5244
-9130,4241.51
-3156.964,-4763.58
-1970.37,3064
6401.326,2149
2606,-7359.697
-4919,-2478.874
7090,-4958
6708.697,-1327
1238.316,8165
-1729.524,-8582
-9784,891.2
-4234,9805
9007,-7720
-9662,1799
-3198,1566.662
-4626,2712.61
-1730.784,-3985.152
6547,-1151
2132.949,2077
-3507,2967.77
-9087,9647
6785,-1768.179
2969,3020
-7613.671,-5734
-6319,9665
861.611,6537
-2505,4830
7787,-3505.315
5537,-1035
-1315.149,-1446
-6218.106,-6043.148
-5999,-3739.932
6266,8521
3038,-4545
-217,-6036.897
2626.517,-1967.061
1842.358,6539
-2431.54,-9020.038
2619.103,-4336
-6442,2613.321
-7174.357,2380.751
42.244,-571
3233,-4943
-3975.512,-9620.067
4025.873,-1468
-7309.596,-5337
747,2237
9622,7789
-7191,-4895.824
5657,-1109
-562.964,-6234.808
9459,-8728.952
-3928.86,9499
5183,-6512.002
4887,-7963.53
-4347.418,6403.978
8118,-7210.756
-6736.537,4853.69
-9578.91,5607
-6029,1633
7460.243,-6907
-4769,2567.588
-5454,1474
6059.772,7739
-8168,-6319
-8998.654,4998.302
1215,344.566
7546,467
-1727.23,-4073.151
-184.212,5395
-1121.866,-8443
-1613.602,-1624.274
-5699,3020
4386.512,-4460.838
-8899,7389.224
-3363.083,4417.665
1930,7789.565
-1257.598,9242
6441,-153
1973.996,-2564.667
3475.326,2169
-2045,2388
-3247.457,8906
-7246,-5002
9500,6065
4855.879,3647.609
2730.469,-9160.878
-7021.778,-666
-9834,-3512
2938,-6616
7597.111,5572.105
-4244.178,4428
-1160,2197.371
2171,4387.56
-2895,9823
9644.777,-5872
3327.341,-445
1718.059,-9073.378
-53,-4724.426
5473.974,8093.962
7713.104,-8085.541
3572.725,4670
-6499.435,191.877
-367,-4848
711.286,-1480
-4821,-6510.532
3617.807,-1205.599
9047,269
-7312.628,9613.502
6701.445,-428
-9231,-2070
-3863,-9751.353
-6008.483,7073
-7450,-8347
363,7820
3377.731,9025
3724,1575
8018,-2102.583
-5653,-1140
3324.844,-3238
-7764.005,1161.71
1067,5197
-5505.796,-4915.72
-1772,1063.893
4317,8084
-1746.975,-3124.823
464.457,1957.755
-6645.977,49
7422.564,-4556.67
6727,-264.65
3267.998,5823
9332.954,6428.036
265.185,7869.032
-1916,-3306.694
-858,-5198
-1938,-3123
-4637.856,7073.723
-1611.526,-308.743
9974,-8960.448
8557.995,4388.851
-1718,-3194.639
2105,351
-9842,-9645
5280.295,-6212
-8484,-1707.62
-2032,-7567
-7157,4774
3424,5594.125
2778,-9214
-4657.53,1136
-1035,8250
5624,-5008
52.927,8053
-9814.017,-7734
-6528,-7593
62.754,-2972.23
9199,-8623.06
776,-2453
-2929,-593
-9573,-9583.499
-352.259,747.313
5288,-3598.353
4893,-9906.738
-7326.099,5543.999
-6045.92,955.299
-966,8419.999
9397.398,-2275
-4943,-8711.283
-5553,3381
-7197.084,-8398
4921,-6408.847
-4844.36,6902.287
4447.561,-8594.132
-9588.775,8192
3492,-1965.43
-1914.178,1485
-465.059,-8949.177
9382.765,4490.179
2818.474,8441.69
-6366.559,6381
2399,-5844.449
-5378.859,-9599
-4937,-7689
-7706.604,6965.508
-6999.358,8408.475
-1379.404,-3398.039
-6202,-1518
-3153,-2117
5550.975,-9451.131
4067,3095
-1275,7325
-5232.121,-8791.154
-1846,-3962
6093.428,-4035
-4171,-7114.079
4457,2133
8868,5361.156
-5092.371,-5478.673
-8240,4086
-3267,-6763
-4313,1851.364
9259,2899
